t,ct
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,34.18778437991663
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,35.02601210153245
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,18.032619103704754
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
